,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
8255,8255,33,technician,divorced,secondary,no,464,no,no,cellular,4,feb,207,4,-1,0,unknown,no
9902,9902,27,services,married,secondary,no,221,no,yes,cellular,7,jul,554,1,-1,0,unknown,no
1644,1644,38,services,married,secondary,no,1970,yes,no,cellular,30,apr,701,1,176,1,success,yes
3363,3363,37,services,married,secondary,no,2678,no,no,cellular,25,mar,156,1,-1,0,unknown,yes
9395,9395,39,services,single,secondary,no,326,yes,no,unknown,27,may,115,1,-1,0,unknown,no
5064,5064,38,technician,divorced,tertiary,no,1805,no,no,unknown,9,jun,952,2,-1,0,unknown,yes
9905,9905,41,management,married,tertiary,no,65,yes,no,unknown,6,may,524,2,-1,0,unknown,no
8043,8043,31,technician,single,tertiary,no,23,no,no,cellular,25,aug,121,3,-1,0,unknown,no
870,870,30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976,12,-1,0,unknown,yes
3507,3507,33,services,married,secondary,no,386,no,no,cellular,12,may,317,1,181,5,success,yes
10929,10929,42,technician,divorced,secondary,no,248,no,no,cellular,19,aug,163,4,-1,0,unknown,no
3347,3347,35,admin.,married,secondary,no,304,no,no,cellular,18,mar,237,1,-1,0,unknown,yes
3317,3317,69,retired,married,unknown,no,426,no,no,telephone,9,mar,225,1,90,1,success,yes
6813,6813,26,admin.,single,secondary,no,712,yes,no,unknown,6,may,232,1,-1,0,unknown,no
3324,3324,36,services,married,secondary,no,4721,no,no,cellular,9,mar,288,2,90,3,success,yes
1223,1223,43,management,married,tertiary,no,40,no,no,cellular,10,feb,147,1,-1,0,unknown,yes
3175,3175,65,entrepreneur,married,tertiary,no,2331,no,no,telephone,9,feb,290,1,92,1,success,yes
8859,8859,31,technician,married,tertiary,no,95,no,no,cellular,21,nov,48,6,-1,0,unknown,no
9943,9943,35,management,single,tertiary,no,123,yes,no,unknown,9,may,83,3,-1,0,unknown,no
2241,2241,39,blue-collar,single,tertiary,no,48,no,no,cellular,3,jun,539,1,-1,0,unknown,yes
6219,6219,34,admin.,married,secondary,no,804,yes,no,cellular,23,jul,256,9,-1,0,unknown,no
6237,6237,31,management,married,tertiary,no,1224,yes,yes,cellular,20,nov,75,2,119,2,success,no
7674,7674,40,services,married,secondary,no,113,yes,no,unknown,4,jun,126,1,-1,0,unknown,no
885,885,52,technician,married,secondary,no,5303,yes,no,unknown,19,oct,133,1,-1,0,unknown,yes
9247,9247,28,management,single,tertiary,no,150,yes,no,unknown,8,may,491,1,-1,0,unknown,no
2457,2457,42,services,single,secondary,no,3403,yes,no,cellular,7,aug,215,1,99,1,failure,yes
10390,10390,51,admin.,divorced,secondary,no,2195,yes,no,unknown,13,may,59,1,-1,0,unknown,no
2372,2372,26,self-employed,single,tertiary,no,2857,no,no,cellular,3,jul,446,1,-1,0,unknown,yes
9901,9901,43,blue-collar,married,unknown,no,285,yes,no,cellular,15,may,22,6,-1,0,unknown,no
10999,10999,38,entrepreneur,married,tertiary,no,1438,no,no,cellular,13,nov,122,5,-1,0,unknown,no
8454,8454,31,technician,married,tertiary,no,15,no,no,unknown,2,jun,389,1,-1,0,unknown,no
7492,7492,58,technician,married,secondary,no,1463,yes,no,cellular,12,aug,110,3,-1,0,unknown,no
8378,8378,32,housemaid,married,tertiary,no,10,yes,no,unknown,2,jun,658,2,-1,0,unknown,no
9071,9071,36,blue-collar,married,primary,no,1503,no,no,cellular,19,nov,138,1,-1,0,unknown,no
7850,7850,58,self-employed,married,secondary,no,0,yes,no,unknown,15,may,272,9,-1,0,unknown,no
1447,1447,30,management,single,tertiary,no,2544,no,no,cellular,9,apr,152,2,-1,0,unknown,yes
1210,1210,39,services,married,tertiary,no,1493,no,no,cellular,9,feb,912,3,-1,0,unknown,yes
1024,1024,38,entrepreneur,married,tertiary,no,1110,yes,no,cellular,20,nov,888,2,183,2,failure,yes
1429,1429,33,management,single,tertiary,no,318,yes,no,cellular,8,apr,1190,1,141,3,other,yes
35,35,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes
538,538,28,blue-collar,married,secondary,no,751,yes,no,cellular,22,jul,598,5,-1,0,unknown,yes
5558,5558,36,services,single,primary,no,38,no,no,unknown,6,jun,308,4,-1,0,unknown,no
8070,8070,40,unemployed,divorced,secondary,no,262,yes,no,unknown,14,may,163,5,-1,0,unknown,no
9596,9596,34,blue-collar,married,primary,no,3,yes,no,telephone,8,may,26,1,-1,0,unknown,no
1026,1026,32,services,married,secondary,no,983,yes,no,cellular,20,nov,500,2,133,1,failure,yes
1819,1819,60,management,married,tertiary,no,5990,yes,no,cellular,6,may,396,3,-1,0,unknown,yes
6168,6168,55,blue-collar,single,primary,no,1187,yes,no,unknown,2,jun,193,2,-1,0,unknown,no
7554,7554,35,admin.,single,secondary,no,182,yes,no,unknown,3,jun,117,1,-1,0,unknown,no
775,775,50,self-employed,married,secondary,no,10052,no,no,cellular,13,aug,665,2,-1,0,unknown,yes
7739,7739,35,entrepreneur,single,tertiary,no,1800,yes,no,unknown,5,jun,53,1,-1,0,unknown,no
5202,5202,33,services,married,secondary,no,1697,no,no,cellular,3,nov,179,1,-1,0,unknown,yes
1014,1014,30,services,married,secondary,no,3929,yes,no,cellular,20,nov,593,1,-1,0,unknown,yes
3146,3146,68,retired,married,tertiary,no,2812,no,no,cellular,3,feb,279,2,181,1,failure,yes
7740,7740,39,admin.,single,secondary,no,6512,no,no,unknown,20,jun,16,6,-1,0,unknown,no
8141,8141,31,admin.,single,secondary,no,162,yes,no,unknown,28,may,247,1,-1,0,unknown,no
4267,4267,34,technician,married,secondary,no,1,no,no,cellular,28,aug,535,2,-1,0,unknown,yes
2266,2266,25,admin.,single,secondary,no,1871,no,no,cellular,4,jun,136,1,-1,0,unknown,yes
2111,2111,60,retired,divorced,tertiary,no,439,no,yes,cellular,25,may,464,1,321,1,failure,yes
3993,3993,23,technician,single,secondary,no,283,yes,no,cellular,22,sep,175,1,184,2,success,yes
1178,1178,30,admin.,single,secondary,no,313,yes,no,cellular,4,feb,1121,2,-1,0,unknown,yes
5542,5542,57,housemaid,married,primary,no,2234,no,no,unknown,11,jun,201,5,-1,0,unknown,no
9744,9744,54,blue-collar,divorced,primary,no,215,yes,no,unknown,4,jun,71,5,-1,0,unknown,no
7840,7840,59,housemaid,divorced,tertiary,no,0,no,no,cellular,20,apr,379,1,332,2,other,no
6404,6404,46,services,married,secondary,no,1757,yes,no,unknown,14,may,380,4,-1,0,unknown,no
4733,4733,26,management,single,tertiary,no,390,no,no,cellular,7,aug,325,1,-1,0,unknown,yes
8897,8897,53,management,married,secondary,no,90,yes,no,telephone,20,apr,67,5,-1,0,unknown,no
4836,4836,40,unemployed,single,tertiary,no,7968,no,no,cellular,2,mar,263,2,180,2,success,yes
2607,2607,36,technician,single,secondary,no,539,yes,no,cellular,27,aug,398,2,477,1,failure,yes
5708,5708,32,management,married,tertiary,no,62,yes,no,cellular,14,may,166,1,-1,0,unknown,no
2364,2364,39,admin.,divorced,secondary,no,19,yes,no,cellular,2,jul,503,2,147,5,success,yes
4704,4704,59,management,married,tertiary,no,315,no,no,cellular,2,mar,591,1,176,2,failure,yes
8254,8254,31,management,single,tertiary,no,0,no,no,cellular,25,aug,101,6,-1,0,unknown,no
10479,10479,37,management,single,tertiary,no,427,yes,no,unknown,20,may,121,1,-1,0,unknown,no
1536,1536,41,self-employed,married,secondary,no,323,yes,no,cellular,17,apr,949,2,254,6,other,yes
5540,5540,42,blue-collar,married,secondary,no,634,yes,no,cellular,24,jul,256,2,-1,0,unknown,no
9573,9573,33,technician,married,secondary,no,390,no,no,cellular,13,aug,460,2,-1,0,unknown,no
5724,5724,42,management,married,tertiary,no,877,yes,no,unknown,14,may,238,1,-1,0,unknown,no
1117,1117,29,technician,single,tertiary,no,2325,no,no,cellular,2,feb,125,1,-1,0,unknown,yes
447,447,51,services,divorced,secondary,no,242,no,yes,cellular,14,jul,1336,4,-1,0,unknown,yes
6666,6666,38,admin.,married,secondary,no,4874,no,no,unknown,6,jun,1291,3,-1,0,unknown,no
3185,3185,61,retired,married,tertiary,no,2557,yes,no,cellular,10,feb,158,2,92,5,success,yes
341,341,29,blue-collar,single,secondary,no,908,yes,no,unknown,20,jun,1663,1,-1,0,unknown,yes
9557,9557,51,blue-collar,married,secondary,no,50,yes,yes,unknown,6,may,121,1,-1,0,unknown,no
8430,8430,54,technician,married,secondary,no,0,no,no,telephone,16,nov,986,1,94,8,failure,no
1104,1104,49,unemployed,married,primary,no,518,no,no,cellular,29,jan,1917,2,-1,0,unknown,yes
9894,9894,57,retired,married,secondary,no,519,yes,no,unknown,3,jun,393,3,-1,0,unknown,no
10685,10685,41,admin.,divorced,secondary,no,1967,yes,no,cellular,18,may,115,1,341,1,failure,no
10736,10736,44,blue-collar,married,primary,no,112,yes,no,unknown,14,may,225,2,-1,0,unknown,no
4244,4244,25,services,single,unknown,no,2022,no,no,cellular,29,jul,276,8,97,12,other,yes
1321,1321,35,self-employed,married,tertiary,no,3698,yes,no,cellular,5,mar,106,1,-1,0,unknown,yes
4477,4477,55,retired,divorced,secondary,no,2204,no,no,cellular,22,feb,261,1,264,1,failure,yes
3873,3873,77,retired,married,primary,no,2590,no,no,telephone,12,aug,345,1,178,20,failure,yes
10337,10337,23,blue-collar,single,secondary,no,105,yes,no,unknown,16,may,498,2,-1,0,unknown,no
5298,5298,52,unemployed,married,secondary,no,5091,no,no,cellular,26,may,309,1,-1,0,unknown,no
5401,5401,49,management,married,tertiary,no,234,no,no,cellular,22,aug,55,6,-1,0,unknown,no
8269,8269,50,management,married,secondary,no,2910,no,no,telephone,29,jul,790,1,-1,0,unknown,no
2307,2307,31,management,single,tertiary,no,5205,no,no,cellular,9,jun,529,2,-1,0,unknown,yes
7244,7244,42,technician,married,secondary,no,994,yes,no,cellular,25,may,365,5,-1,0,unknown,no
10107,10107,34,entrepreneur,married,secondary,no,223,no,yes,cellular,11,aug,103,6,-1,0,unknown,no
4200,4200,35,technician,married,secondary,no,2201,no,no,telephone,12,apr,350,1,-1,0,unknown,yes
4185,4185,41,management,divorced,tertiary,no,3426,no,no,cellular,4,jun,102,2,297,3,failure,yes
10718,10718,59,entrepreneur,married,primary,no,0,no,no,unknown,19,jun,239,1,-1,0,unknown,no
607,607,54,technician,married,secondary,no,1938,no,yes,cellular,28,jul,551,3,-1,0,unknown,yes
10739,10739,38,management,married,secondary,no,3840,yes,yes,cellular,17,nov,62,1,-1,0,unknown,no
8343,8343,52,management,married,tertiary,no,1158,no,no,cellular,27,aug,57,4,-1,0,unknown,no
4184,4184,71,retired,married,tertiary,no,653,no,no,telephone,3,sep,471,1,189,1,success,yes
39,39,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,yes
6235,6235,55,blue-collar,divorced,secondary,no,7378,no,no,unknown,14,may,316,3,-1,0,unknown,no
7778,7778,38,blue-collar,married,secondary,no,468,yes,no,unknown,8,may,101,2,-1,0,unknown,no
4571,4571,43,blue-collar,divorced,primary,no,3550,no,no,cellular,20,nov,1154,1,-1,0,unknown,yes
4230,4230,37,management,married,tertiary,no,57,no,no,cellular,5,feb,345,1,-1,0,unknown,yes
7934,7934,38,technician,single,secondary,no,211,yes,no,cellular,29,jan,236,2,-1,0,unknown,no
1233,1233,22,student,single,secondary,no,381,no,no,cellular,12,feb,227,1,-1,0,unknown,yes
6771,6771,49,admin.,married,secondary,no,0,no,no,cellular,22,aug,115,2,-1,0,unknown,no
2254,2254,27,services,single,secondary,no,339,no,no,cellular,4,jun,182,1,-1,0,unknown,yes
10724,10724,35,unemployed,married,secondary,no,2228,no,no,unknown,19,jun,461,2,-1,0,unknown,no
6118,6118,33,technician,married,tertiary,no,599,yes,no,cellular,29,aug,461,2,-1,0,unknown,no
8714,8714,47,entrepreneur,married,unknown,no,1481,yes,no,cellular,6,may,64,2,364,3,failure,no
3595,3595,28,management,single,tertiary,no,187,no,no,cellular,9,jun,206,1,92,1,success,yes
4810,4810,28,services,married,secondary,no,510,yes,yes,cellular,8,jul,1767,2,-1,0,unknown,yes
3049,3049,20,student,single,unknown,no,755,no,no,cellular,29,dec,284,1,-1,0,unknown,yes
4611,4611,43,blue-collar,married,secondary,no,2160,no,no,cellular,8,sep,261,1,98,1,success,yes
5585,5585,34,management,single,tertiary,no,404,yes,no,cellular,5,feb,10,6,-1,0,unknown,no
2144,2144,26,student,single,tertiary,no,39,no,no,cellular,26,may,396,3,-1,0,unknown,yes
4441,4441,40,technician,divorced,tertiary,no,4736,yes,no,cellular,11,feb,285,2,-1,0,unknown,yes
2507,2507,45,unemployed,divorced,primary,yes,11,no,no,cellular,13,aug,489,5,-1,0,unknown,yes
5407,5407,65,management,divorced,tertiary,no,2756,no,no,cellular,23,sep,1353,2,-1,0,unknown,no
4612,4612,39,technician,married,secondary,no,1587,yes,no,cellular,2,jun,171,3,-1,0,unknown,yes
2253,2253,27,management,married,secondary,no,2071,no,no,cellular,4,jun,449,1,-1,0,unknown,yes
6154,6154,56,technician,married,secondary,no,147,no,no,cellular,12,apr,203,1,-1,0,unknown,no
6387,6387,35,management,single,tertiary,no,1120,no,no,unknown,21,sep,4,1,771,2,success,no
3945,3945,84,retired,married,tertiary,no,4761,no,no,telephone,9,sep,1405,1,92,3,failure,yes
3176,3176,27,management,single,tertiary,no,390,no,no,cellular,9,feb,120,2,104,2,failure,yes
1660,1660,37,technician,married,secondary,no,1458,no,no,cellular,30,apr,281,1,-1,0,unknown,yes
7700,7700,43,management,married,tertiary,no,0,yes,no,cellular,21,jul,474,1,-1,0,unknown,no
10316,10316,38,services,married,secondary,no,1313,no,no,unknown,17,jun,33,2,-1,0,unknown,no
236,236,35,admin.,divorced,secondary,no,437,yes,no,unknown,4,jun,908,1,-1,0,unknown,yes
7,7,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes
2893,2893,32,management,single,tertiary,no,935,no,no,cellular,9,nov,165,1,91,7,success,yes
4252,4252,52,technician,married,tertiary,no,2557,no,no,cellular,28,jan,134,5,204,2,success,yes
9191,9191,51,blue-collar,married,primary,no,844,yes,no,unknown,29,may,184,3,-1,0,unknown,no
5599,5599,33,blue-collar,married,secondary,no,1541,yes,no,unknown,23,may,423,2,-1,0,unknown,no
5943,5943,58,management,single,tertiary,no,1387,yes,no,unknown,5,may,174,5,-1,0,unknown,no
2346,2346,54,management,married,tertiary,no,1464,no,no,cellular,30,jun,157,1,-1,0,unknown,yes
344,344,40,blue-collar,married,secondary,no,188,yes,yes,unknown,20,jun,570,2,-1,0,unknown,yes
161,161,34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown,yes
3158,3158,48,blue-collar,married,secondary,no,1730,yes,no,cellular,4,feb,489,1,178,2,failure,yes
3695,3695,50,unknown,married,unknown,no,558,no,no,cellular,9,jul,464,1,683,6,failure,yes
4629,4629,40,admin.,divorced,secondary,no,2129,no,no,cellular,30,apr,452,1,-1,0,unknown,yes
7929,7929,44,management,married,tertiary,no,0,yes,no,cellular,31,jul,49,5,-1,0,unknown,no
7000,7000,33,student,single,unknown,no,2321,no,no,cellular,15,apr,699,2,381,2,failure,no
9734,9734,54,management,married,tertiary,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,no
6817,6817,29,student,single,secondary,no,110,yes,no,unknown,7,may,169,3,-1,0,unknown,no
9261,9261,47,technician,divorced,secondary,no,2836,no,yes,cellular,14,aug,10,2,-1,0,unknown,no
31,31,60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,yes
5139,5139,32,technician,married,secondary,no,348,yes,no,cellular,17,jul,926,1,-1,0,unknown,yes
9044,9044,53,management,married,secondary,no,2895,yes,no,unknown,29,may,74,1,-1,0,unknown,no
6049,6049,26,blue-collar,single,secondary,no,786,yes,yes,unknown,14,may,103,5,-1,0,unknown,no
4482,4482,31,blue-collar,married,secondary,no,0,yes,no,unknown,10,aug,97,1,782,1,other,yes
1900,1900,38,services,single,secondary,no,895,yes,no,cellular,12,may,1531,1,-1,0,unknown,yes
1153,1153,40,management,married,tertiary,no,1308,no,no,telephone,3,feb,1776,2,-1,0,unknown,yes
2898,2898,42,management,married,tertiary,no,2816,no,no,cellular,10,nov,193,2,-1,0,unknown,yes
8424,8424,36,admin.,married,secondary,no,542,yes,no,unknown,18,jun,604,6,-1,0,unknown,no
2665,2665,79,retired,married,secondary,no,723,no,no,telephone,9,sep,276,1,79,3,failure,yes
5289,5289,57,retired,single,primary,no,604,no,no,cellular,19,nov,187,1,-1,0,unknown,no
2183,2183,43,management,divorced,tertiary,no,2367,no,no,cellular,1,jun,114,1,38,2,other,yes
3978,3978,39,admin.,divorced,secondary,no,112,no,no,cellular,16,sep,574,3,-1,0,unknown,yes
2081,2081,32,technician,single,tertiary,no,2684,yes,no,cellular,18,may,542,2,-1,0,unknown,yes
6406,6406,37,services,single,secondary,no,934,yes,no,unknown,16,may,242,3,-1,0,unknown,no
10982,10982,40,management,married,secondary,no,8486,no,no,unknown,6,may,260,3,-1,0,unknown,no
3172,3172,60,technician,married,secondary,no,824,yes,no,cellular,9,feb,127,1,558,7,other,yes
10313,10313,53,services,married,primary,no,49,no,no,unknown,28,may,152,1,-1,0,unknown,no
5250,5250,40,blue-collar,married,unknown,no,1181,yes,no,cellular,4,feb,718,2,189,2,success,yes
2417,2417,57,management,married,tertiary,no,1660,no,no,cellular,4,aug,642,1,-1,0,unknown,yes
6872,6872,31,housemaid,married,primary,no,2603,yes,no,cellular,18,nov,224,1,-1,0,unknown,no
7524,7524,59,technician,married,secondary,no,0,no,no,cellular,29,aug,62,2,-1,0,unknown,no
8377,8377,46,management,single,tertiary,no,2044,no,no,telephone,4,feb,25,1,-1,0,unknown,no
6477,6477,39,management,single,tertiary,no,0,yes,no,cellular,12,may,561,4,369,3,failure,no
7008,7008,48,management,married,unknown,no,0,yes,no,cellular,8,may,612,1,344,1,other,no
6536,6536,52,self-employed,divorced,secondary,no,385,no,yes,cellular,26,aug,96,4,-1,0,unknown,no
4036,4036,30,management,single,tertiary,no,502,no,no,cellular,11,oct,463,3,95,6,success,yes
3961,3961,25,student,single,secondary,no,486,no,no,cellular,13,sep,273,3,199,4,failure,yes
7171,7171,66,retired,married,secondary,no,780,no,no,cellular,12,feb,388,4,-1,0,unknown,no
3208,3208,64,retired,married,tertiary,no,846,no,no,cellular,11,feb,671,1,181,3,failure,yes
9648,9648,31,self-employed,single,secondary,no,762,no,no,cellular,11,aug,312,3,-1,0,unknown,no
7069,7069,56,services,married,secondary,no,9,no,yes,cellular,20,aug,285,2,-1,0,unknown,no
1308,1308,34,blue-collar,single,secondary,no,215,no,no,cellular,3,mar,350,3,-1,0,unknown,yes
10562,10562,88,retired,married,primary,no,648,no,no,telephone,3,sep,318,1,-1,0,unknown,no
11085,11085,60,technician,married,primary,no,4243,yes,no,cellular,4,feb,387,1,251,1,failure,no
8654,8654,49,management,married,tertiary,no,1887,no,no,cellular,18,nov,244,3,-1,0,unknown,no
3098,3098,92,retired,married,unknown,no,775,no,no,cellular,26,jan,164,4,96,3,success,yes
7118,7118,47,blue-collar,married,secondary,no,125,no,no,cellular,8,jul,210,2,-1,0,unknown,no
3489,3489,41,technician,single,tertiary,no,1646,yes,no,cellular,5,may,258,1,90,7,success,yes
5924,5924,47,blue-collar,married,secondary,no,3696,yes,no,cellular,19,nov,635,3,170,2,failure,no
4422,4422,28,unemployed,married,primary,no,7459,yes,no,cellular,2,feb,981,5,269,2,failure,yes
3425,3425,34,management,married,tertiary,no,589,no,no,cellular,19,apr,125,2,-1,0,unknown,yes
4530,4530,27,services,single,secondary,no,453,no,no,cellular,19,apr,142,2,-1,0,unknown,yes
9542,9542,30,self-employed,single,secondary,no,1031,no,no,unknown,20,oct,7,1,-1,0,unknown,no
4369,4369,34,technician,married,secondary,no,133,no,no,cellular,15,nov,401,2,187,5,success,yes
5721,5721,33,management,married,secondary,no,588,yes,no,cellular,18,may,11,5,-1,0,unknown,no
10368,10368,58,blue-collar,married,primary,no,96,no,no,unknown,16,jun,76,3,-1,0,unknown,no
9406,9406,32,technician,single,tertiary,no,696,no,yes,cellular,13,aug,101,4,105,4,failure,no
10091,10091,53,technician,divorced,secondary,no,392,yes,no,cellular,28,jan,70,1,245,1,failure,no
974,974,35,management,divorced,tertiary,no,859,yes,yes,cellular,19,nov,1554,1,-1,0,unknown,yes
6429,6429,60,blue-collar,married,secondary,no,0,no,yes,unknown,5,jun,124,1,-1,0,unknown,no
5608,5608,35,blue-collar,married,secondary,no,126,yes,no,cellular,16,apr,472,1,-1,0,unknown,no
9021,9021,57,technician,married,secondary,no,28,yes,no,cellular,8,may,163,1,358,1,failure,no
10060,10060,33,management,single,tertiary,no,8514,no,no,cellular,20,aug,131,1,-1,0,unknown,no
119,119,34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,1,-1,0,unknown,yes
7401,7401,52,admin.,single,unknown,no,872,yes,no,telephone,18,may,82,6,335,1,other,no
3223,3223,46,management,married,tertiary,no,349,no,no,cellular,15,feb,295,2,616,1,failure,yes
4547,4547,36,blue-collar,married,secondary,no,218,yes,no,cellular,4,may,619,6,-1,0,unknown,yes
4465,4465,45,technician,married,tertiary,no,377,yes,no,unknown,19,jun,835,3,-1,0,unknown,yes
2092,2092,32,technician,single,tertiary,no,1625,no,no,cellular,22,may,796,1,109,1,failure,yes
628,628,36,management,married,tertiary,no,96,no,no,cellular,30,jul,729,4,-1,0,unknown,yes
2091,2091,37,management,married,tertiary,no,3723,no,no,cellular,22,may,354,1,-1,0,unknown,yes
10135,10135,27,technician,single,tertiary,no,501,no,yes,telephone,30,jan,370,4,-1,0,unknown,no
2184,2184,23,services,single,secondary,no,31,no,no,cellular,1,jun,192,1,-1,0,unknown,yes
3502,3502,53,management,married,tertiary,no,3634,no,no,cellular,7,may,211,4,88,8,success,yes
10513,10513,50,admin.,married,secondary,no,715,no,no,cellular,28,aug,131,13,-1,0,unknown,no
9091,9091,25,management,single,tertiary,no,1602,yes,no,cellular,26,may,154,1,-1,0,unknown,no
10577,10577,42,services,married,unknown,no,1340,no,yes,cellular,30,jul,88,5,-1,0,unknown,no
3030,3030,50,services,married,secondary,no,320,no,no,telephone,21,dec,294,3,315,4,success,yes
4345,4345,35,management,married,tertiary,no,1731,no,no,cellular,31,jul,361,4,-1,0,unknown,yes
10729,10729,54,services,married,secondary,no,4482,yes,no,unknown,20,may,97,2,-1,0,unknown,no
8305,8305,48,retired,married,tertiary,no,4,no,yes,cellular,23,jul,70,5,-1,0,unknown,no
2118,2118,40,technician,married,secondary,no,312,no,no,cellular,25,may,612,7,-1,0,unknown,yes
2591,2591,64,retired,married,tertiary,no,380,no,no,cellular,25,aug,479,1,-1,0,unknown,yes
6195,6195,32,services,single,secondary,no,659,yes,no,cellular,20,apr,12,6,-1,0,unknown,no
6006,6006,54,admin.,married,primary,no,976,yes,no,unknown,3,jun,137,3,-1,0,unknown,no
2163,2163,55,admin.,married,secondary,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes
9667,9667,56,retired,married,secondary,no,878,no,no,unknown,20,jun,123,3,-1,0,unknown,no
3851,3851,60,technician,married,secondary,no,824,yes,no,cellular,9,aug,265,1,181,8,success,yes
10719,10719,40,technician,married,secondary,no,214,no,no,cellular,25,aug,59,6,-1,0,unknown,no
9036,9036,40,management,single,unknown,no,838,yes,no,unknown,12,may,619,3,-1,0,unknown,no
3656,3656,23,services,single,secondary,no,488,no,no,cellular,29,jun,205,1,91,3,success,yes
2547,2547,50,technician,married,secondary,no,2218,yes,no,cellular,17,aug,711,1,-1,0,unknown,yes
413,413,49,blue-collar,married,primary,no,3,no,yes,cellular,9,jul,1439,6,-1,0,unknown,yes
3975,3975,31,management,single,tertiary,no,3340,no,no,cellular,15,sep,213,2,469,3,success,yes
2755,2755,50,management,married,primary,no,313,no,no,telephone,14,oct,958,1,-1,0,unknown,yes
9789,9789,53,housemaid,married,secondary,no,1182,yes,no,cellular,7,sep,82,1,293,1,failure,no
3966,3966,75,retired,married,primary,no,1765,no,no,telephone,14,sep,808,1,187,4,failure,yes
2529,2529,36,management,married,primary,no,1506,no,no,cellular,14,aug,326,3,-1,0,unknown,yes
798,798,50,management,single,tertiary,no,1200,no,no,cellular,14,aug,904,3,-1,0,unknown,yes
10612,10612,26,services,married,secondary,no,199,no,no,cellular,24,jul,139,6,-1,0,unknown,no
6954,6954,37,management,single,tertiary,no,0,no,no,cellular,20,oct,107,1,258,3,other,no
9708,9708,49,admin.,married,secondary,no,1096,yes,no,cellular,17,apr,609,1,303,5,failure,no
7241,7241,31,blue-collar,married,secondary,no,557,yes,yes,unknown,27,may,185,1,-1,0,unknown,no
4562,4562,31,admin.,single,secondary,no,747,yes,no,unknown,26,may,543,2,-1,0,unknown,yes
2105,2105,29,management,single,tertiary,no,428,no,no,cellular,22,may,293,2,-1,0,unknown,yes
7726,7726,45,management,divorced,secondary,no,51,yes,no,cellular,31,jul,67,8,-1,0,unknown,no
1444,1444,29,admin.,married,tertiary,no,332,no,no,cellular,9,apr,179,1,-1,0,unknown,yes
1396,1396,34,admin.,married,secondary,no,1474,no,no,cellular,2,apr,739,2,-1,0,unknown,yes
2623,2623,39,management,married,tertiary,no,119,yes,no,cellular,1,sep,265,2,476,4,success,yes
3822,3822,93,retired,married,unknown,no,775,no,no,cellular,4,aug,476,2,13,9,success,yes
7484,7484,25,admin.,single,secondary,no,131,yes,yes,unknown,9,may,237,1,-1,0,unknown,no
10025,10025,50,management,divorced,tertiary,no,405,no,no,cellular,2,apr,82,6,-1,0,unknown,no
8659,8659,27,blue-collar,single,primary,no,3955,yes,no,unknown,28,may,205,3,-1,0,unknown,no
6471,6471,31,management,married,tertiary,no,3914,no,yes,cellular,29,jan,266,1,-1,0,unknown,no
6241,6241,24,admin.,single,tertiary,no,1141,yes,no,unknown,23,may,230,1,-1,0,unknown,no
8179,8179,41,services,married,secondary,no,205,yes,no,unknown,8,may,91,1,-1,0,unknown,no
1423,1423,48,management,married,secondary,no,4415,yes,no,cellular,8,apr,1032,3,141,7,failure,yes
2366,2366,45,admin.,married,unknown,no,5511,no,no,cellular,2,jul,272,1,-1,0,unknown,yes
11139,11139,30,self-employed,single,tertiary,no,2593,no,no,unknown,27,may,662,7,-1,0,unknown,no
150,150,37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown,yes
6329,6329,30,technician,single,tertiary,no,106,yes,no,cellular,13,may,119,3,-1,0,unknown,no
6467,6467,45,services,married,unknown,no,318,no,no,cellular,16,jul,63,2,-1,0,unknown,no
77,77,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown,yes
1552,1552,70,retired,married,secondary,no,2575,no,no,telephone,20,apr,216,2,-1,0,unknown,yes
6373,6373,35,blue-collar,married,secondary,no,154,yes,no,unknown,23,may,211,4,-1,0,unknown,no
8593,8593,41,admin.,married,secondary,no,120,no,yes,cellular,8,jul,489,1,-1,0,unknown,no
365,365,33,services,married,secondary,no,114,no,yes,unknown,3,jul,676,1,-1,0,unknown,yes
10571,10571,56,housemaid,divorced,primary,no,61,no,no,cellular,2,jun,144,1,-1,0,unknown,no
5686,5686,59,blue-collar,married,primary,no,416,no,no,unknown,16,jun,92,3,-1,0,unknown,no
3759,3759,35,management,married,tertiary,no,4124,yes,no,cellular,23,jul,350,2,445,7,other,yes
4882,4882,34,admin.,married,secondary,no,155,no,no,cellular,5,feb,696,2,-1,0,unknown,yes
980,980,32,services,single,secondary,no,2615,no,no,cellular,19,nov,853,1,-1,0,unknown,yes
